Rank,Name,Cummulative Counts Deviation,Prediction Counts Deviation,Total Deviation
1,Tokyo,43.85,47.13,45.49
2,Get Fined,41.25,55.95,48.6
3,CSVS,46.05,55.45,50.75
4,Vidyashilp Tech Explorers,49.95,52.49,51.22
5,Algovenger,46.99,57.78,52.385
6,Huskies,37.71,67.13,52.42
7,Tensor Squad,42.79,65.48,54.135
8,Mathco Innovations,54.44,64.4,59.42
9,Traffic Eye,60.39,64.41,62.4
10,Invisible Cities,57.14,70.57,63.855
11,Artemis,61.37,67.2,64.285
12,Quanto Crusadors,64.28,67.85,66.065
13,Traffic Kaptan,59.84,75.01,67.425
14,Edge Case,51.5,100,75.75
15,Code Crafters,75.01,77.48,76.245
16,Path Protectors,58.3,100,79.15
17,Urban Drive Forecasters,69.5,100,84.75
18,BT-AI,90.3,100,95.15
19,AI Code,100,92.85,96.425
