Rank,Name,Cummulative Counts Deviation,Prediction Counts Deviation,Total Deviation
1,Traffic Eye,21.75,29.92,25.835
2,Tokyo,43.69,47.04,45.365
3,Get Fined,41.29,55.38,48.335
4,CSVS,47.85,55.45,51.65
5,Vidyashilp Tech Explorers,39.65,64.59,52.12
6,Algovenger,46.99,57.78,52.385
7,Invisible Cities,50.76,54.53,52.645
8,Huskies,45.76,64.28,55.02
9,Tensor Squad,47.36,69.53,58.445
10,Traffic Kaptan,60.93,59.32,60.125
11,Quanto Crusaders,67.65,60.14,63.895
12,Mathco Innovations,59.68,71.12,65.4
13,Edge Case,51.5,100,75.75
14,Code Crafters,75.01,77.48,76.245
15,Path Protectors,58.3,100,79.15
16,Urban Drive Forecasters,69.5,100,84.75
17,BT-AI,90.3,100,95.15
18,AI Code,100,92.85,96.425
